,draft_year,pick_no,player_name
439,2020,20,Precious Achiuwa
440,2020,21,Tyrese Maxey
441,2020,22,Zeke Nnaji
442,2020,23,Leandro Bolmaro
443,2020,24,R.J. Hampton
444,2020,25,Immanuel Quickley
445,2020,26,Payton Pritchard
446,2020,27,Udoka Azubuike
447,2020,28,Jaden McDaniels
448,2020,29,Malachi Flynn
449,2020,30,Desmond Bane
450,2020,31,Tyrell Terry
451,2020,32,Vernon Carey Jr.
452,2020,33,Daniel Oturu
453,2020,34,Théo Maledon
454,2020,35,Xavier Tillman Sr.
455,2020,36,Tyler Bey
456,2020,37,Vit Krejci
457,2020,38,Saben Lee
458,2020,39,Elijah Hughes
459,2020,40,Robert Woodard II
460,2020,41,Tre Jones
461,2020,42,Nick Richards
462,2020,43,Jahmi'us Ramsey
463,2020,44,Marko Simonovic
464,2020,45,Jordan Nwora
465,2020,46,CJ Elleby
466,2020,47,Yam Madar
467,2020,48,Nico Mannion
468,2020,49,Isaiah Joe
469,2020,50,Skylar Mays
470,2020,51,Justinian Jessup
471,2020,52,Kenyon Martin Jr.
472,2020,53,Cassius Winston
473,2020,54,Cassius Stanley
474,2020,55,Jay Scrubb
475,2020,56,Grant Riller
476,2020,57,Reggie Perry
477,2020,58,Paul Reed
478,2020,59,Jalen Harris
479,2020,60,Sam Merrill
480,2021,1,Cade Cunningham
481,2021,2,Jalen Green
482,2021,3,Evan Mobley
483,2021,4,Scottie Barnes
484,2021,5,Jalen Suggs
485,2021,6,Josh Giddey
486,2021,7,Jonathan Kuminga
487,2021,8,Franz Wagner
488,2021,9,Davion Mitchell
489,2021,10,Ziaire Williams
490,2021,11,James Bouknight
491,2021,12,Joshua Primo
492,2021,13,Chris Duarte
493,2021,14,Moses Moody
494,2021,15,Corey Kispert
495,2021,16,Alperen Şengün
496,2021,17,Trey Murphy III
497,2021,18,Tre Mann
498,2021,19,Kai Jones
499,2021,20,Jalen Johnson
500,2021,21,Keon Johnson
501,2021,22,Isaiah Jackson
502,2021,23,Usman Garuba
503,2021,24,Josh Christopher
504,2021,25,Quentin Grimes
505,2021,26,Bones Hyland
506,2021,27,Cam Thomas
507,2021,28,Jaden Springer
508,2021,29,Day'Ron Sharpe
509,2021,30,Santi Aldama
510,2021,31,Isaiah Todd
511,2021,32,Jeremiah Robinson-Earl
512,2021,33,Jason Preston
513,2021,34,Rokas Jokubaitis
514,2021,35,Herbert Jones
515,2021,36,Miles McBride
516,2021,37,JT Thor
517,2021,38,Ayo Dosunmu
518,2021,39,Neemias Queta
519,2021,40,Jared Butler
520,2021,41,Joe Wieskamp
521,2021,42,Isaiah Livers
522,2021,43,Greg Brown III
523,2021,44,Kessler Edwards
524,2021,45,Juhann Begarin
525,2021,46,Dalano Banton
526,2021,47,David Johnson
527,2021,48,Sharife Cooper
528,2021,49,Marcus Zegarowski
529,2021,50,Filip Petrušev
530,2021,51,Brandon Boston Jr.
531,2021,52,Luka Garza
532,2021,53,Charles Bassey
533,2021,54,Sandro Mamukelashvili
534,2021,55,Aaron Wiggins
535,2021,56,Scottie Lewis
536,2021,57,Balša Koprivica
537,2021,58,Jericho Sims
538,2021,59,RaiQuan Gray
539,2021,60,Georgios Kalaitzakis
540,2022,1,Paolo Banchero
541,2022,2,Chet Holmgren
542,2022,3,Jabari Smith Jr.
543,2022,4,Keegan Murray
544,2022,5,Jaden Ivey
545,2022,6,Bennedict Mathurin
546,2022,7,Shaedon Sharpe
547,2022,8,Dyson Daniels
548,2022,9,Jeremy Sochan
549,2022,10,Johnny Davis
550,2022,11,Ousmane Dieng
551,2022,12,Jalen Williams
552,2022,13,Jalen Duren
553,2022,14,Ochai Agbaji
554,2022,15,Mark Williams
555,2022,16,AJ Griffin
556,2022,17,Tari Eason
557,2022,18,Dalen Terry
558,2022,19,Jake LaRavia
559,2022,20,Malaki Branham
560,2022,21,Christian Braun
561,2022,22,Walker Kessler
562,2022,23,David Roddy
563,2022,24,MarJon Beauchamp
564,2022,25,Blake Wesley
565,2022,26,Wendell Moore Jr.
566,2022,27,Nikola Jović
567,2022,28,Patrick Baldwin Jr.
568,2022,29,TyTy Washington Jr.
569,2022,30,Peyton Watson
570,2022,31,Andrew Nembhard
571,2022,32,Caleb Houstan
572,2022,33,Christian Koloko
573,2022,34,Jaylin Williams
574,2022,35,Max Christie
575,2022,36,Gabriele Procida
576,2022,37,Jaden Hardy
577,2022,38,Kennedy Chandler
578,2022,39,Khalifa Diop
579,2022,40,Bryce McGowens
